target,target_type,correct_ans,trigger
bailaba,word,2,1
lailaba,word,1,2
bailabas,word,2,1
lailabas,word,1,2
bailábamos,word,2,1
lailábamos,word,1,2
bailaban,word,2,1
lailaban,word,1,2
bailaría,word,2,1
lailaría,word,1,2
bailarías,word,2,1
lailarías,word,1,2
bailaríamos,word,2,1
lailaríamos,word,1,2
bailarían,word,2,1
lailarían,word,1,2
bailaré,word,2,1
lailaré,word,1,2
bailarás,word,2,1
lailarás,word,1,2
bailará,word,2,1
lailará,word,1,2
bailaremos,word,2,1
lailaremos,word,1,2
bailarán,word,2,1
lailarán,word,1,2
besaba,word,2,1
bimaba,word,1,2
besabas,word,2,1
bimabas,word,1,2
besábamos,word,2,1
bimábamos,word,1,2
besaban,word,2,1
bimaban,word,1,2
besaría,word,2,1
bimaría,word,1,2
besarías,word,2,1
bimarías,word,1,2
besaríamos,word,2,1
bimaríamos,word,1,2
besarían,word,2,1
bimarían,word,1,2
besaré,word,2,1
bimaré,word,1,2
besarás,word,2,1
bimarás,word,1,2
besará,word,2,1
bimará,word,1,2
besaremos,word,2,1
bimaremos,word,1,2
besarán,word,2,1
bimarán,word,1,2
casaba,word,2,1
pavaba,word,1,2
casabas,word,2,1
pavabas,word,1,2
casábamos,word,2,1
pavábamos,word,1,2
casaban,word,2,1
pavaban,word,1,2
casaría,word,2,1
pavaría,word,1,2
casarías,word,2,1
pavarías,word,1,2
casaríamos,word,2,1
pavaríamos,word,1,2
casarían,word,2,1
pavarían,word,1,2
casaré,word,2,1
pavaré,word,1,2
casarás,word,2,1
pavarás,word,1,2
casará,word,2,1
pavará,word,1,2
casaremos,word,2,1
pavaremos,word,1,2
casarán,word,2,1
pavarán,word,1,2
cenaba,word,2,1
cisaba,word,1,2
cenabas,word,2,1
cisabas,word,1,2
cenábamos,word,2,1
cisábamos,word,1,2
cenaban,word,2,1
cisaban,word,1,2
cenaría,word,2,1
cisaría,word,1,2
cenarías,word,2,1
cisarías,word,1,2
cenaríamos,word,2,1
cisaríamos,word,1,2
cenarían,word,2,1
cisarían,word,1,2
cenaré,word,2,1
cisaré,word,1,2
cenarás,word,2,1
cisarás,word,1,2
cenará,word,2,1
cisará,word,1,2
cenaremos,word,2,1
cisaremos,word,1,2
cenarán,word,2,1
cisarán,word,1,2
charlaba,word,2,1
chanraba,word,1,2
charlabas,word,2,1
chanrabas,word,1,2
charlábamos,word,2,1
chanrábamos,word,1,2
charlaban,word,2,1
chanraban,word,1,2
charlaría,word,2,1
chanraría,word,1,2
charlarías,word,2,1
chanrarías,word,1,2
charlaríamos,word,2,1
chanraríamos,word,1,2
charlarían,word,2,1
chanrarían,word,1,2
charlaré,word,2,1
chanraré,word,1,2
charlarás,word,2,1
chanrarás,word,1,2
charlará,word,2,1
chanrará,word,1,2
charlaremos,word,2,1
chanraremos,word,1,2
charlarán,word,2,1
chanrarán,word,1,2
cortaba,word,2,1
mertaba,word,1,2
cortabas,word,2,1
mertabas,word,1,2
cortábamos,word,2,1
mertábamos,word,1,2
cortaban,word,2,1
mertaban,word,1,2
cortaría,word,2,1
mertaría,word,1,2
cortarías,word,2,1
mertarías,word,1,2
cortaríamos,word,2,1
mertaríamos,word,1,2
cortarían,word,2,1
mertarían,word,1,2
cortaré,word,2,1
mertaré,word,1,2
cortarás,word,2,1
mertarás,word,1,2
cortará,word,2,1
mertará,word,1,2
cortaremos,word,2,1
mertaremos,word,1,2
cortarán,word,2,1
mertarán,word,1,2
faltaba,word,2,1
vultaba,word,1,2
faltabas,word,2,1
vultabas,word,1,2
faltábamos,word,2,1
vultábamos,word,1,2
faltaban,word,2,1
vultaban,word,1,2
faltaría,word,2,1
vultaría,word,1,2
faltarías,word,2,1
vultarías,word,1,2
faltaríamos,word,2,1
vultaríamos,word,1,2
faltarían,word,2,1
vultarían,word,1,2
faltaré,word,2,1
vultaré,word,1,2
faltarás,word,2,1
vultarás,word,1,2
faltará,word,2,1
vultará,word,1,2
faltaremos,word,2,1
vultaremos,word,1,2
faltarán,word,2,1
vultarán,word,1,2
formaba,word,2,1
lorgaba,word,1,2
formabas,word,2,1
lorgabas,word,1,2
formábamos,word,2,1
lorgábamos,word,1,2
formaban,word,2,1
lorgaban,word,1,2
formaría,word,2,1
lorgaría,word,1,2
formarías,word,2,1
lorgarías,word,1,2
formaríamos,word,2,1
lorgaríamos,word,1,2
formarían,word,2,1
lorgarían,word,1,2
formaré,word,2,1
lorgaré,word,1,2
formarás,word,2,1
lorgarás,word,1,2
formará,word,2,1
lorgará,word,1,2
formaremos,word,2,1
lorgaremos,word,1,2
formarán,word,2,1
lorgarán,word,1,2
juraba,word,2,1
zusaba,word,1,2
jurabas,word,2,1
zusabas,word,1,2
jurábamos,word,2,1
zusábamos,word,1,2
juraban,word,2,1
zusaban,word,1,2
juraría,word,2,1
zusaría,word,1,2
jurarías,word,2,1
zusarías,word,1,2
juraríamos,word,2,1
zusaríamos,word,1,2
jurarían,word,2,1
zusarían,word,1,2
juraré,word,2,1
zusaré,word,1,2
jurarás,word,2,1
zusarás,word,1,2
jurará,word,2,1
zusará,word,1,2
juraremos,word,2,1
zusaremos,word,1,2
jurarán,word,2,1
zusarán,word,1,2
luchaba,word,2,1
burraba,word,1,2
luchabas,word,2,1
burrabas,word,1,2
luchábamos,word,2,1
burrábamos,word,1,2
luchaban,word,2,1
burraban,word,1,2
lucharía,word,2,1
burraría,word,1,2
lucharías,word,2,1
burrarías,word,1,2
lucharíamos,word,2,1
burraríamos,word,1,2
lucharían,word,2,1
burrarían,word,1,2
lucharé,word,2,1
burraré,word,1,2
lucharás,word,2,1
burrarás,word,1,2
luchará,word,2,1
burrará,word,1,2
lucharemos,word,2,1
burraremos,word,1,2
lucharán,word,2,1
burrarán,word,1,2
nadaba,word,2,1
galaba,word,1,2
nadabas,word,2,1
galabas,word,1,2
nadábamos,word,2,1
galábamos,word,1,2
nadaban,word,2,1
galaban,word,1,2
nadaría,word,2,1
galaría,word,1,2
nadarías,word,2,1
galarías,word,1,2
nadaríamos,word,2,1
galaríamos,word,1,2
nadarían,word,2,1
galarían,word,1,2
nadaré,word,2,1
galaré,word,1,2
nadarás,word,2,1
galarás,word,1,2
nadará,word,2,1
galará,word,1,2
nadaremos,word,2,1
galaremos,word,1,2
nadarán,word,2,1
galarán,word,1,2
narraba,word,2,1
gachaba,word,1,2
narrabas,word,2,1
gachabas,word,1,2
narrábamos,word,2,1
gachábamos,word,1,2
narraban,word,2,1
gachaban,word,1,2
narraría,word,2,1
gacharía,word,1,2
narrarías,word,2,1
gacharías,word,1,2
narraríamos,word,2,1
gacharíamos,word,1,2
narrarían,word,2,1
gacharían,word,1,2
narraré,word,2,1
gacharé,word,1,2
narrarás,word,2,1
gacharás,word,1,2
narrará,word,2,1
gachará,word,1,2
narraremos,word,2,1
gacharemos,word,1,2
narrarán,word,2,1
gacharán,word,1,2
obraba,word,2,1
eplaba,word,1,2
obrabas,word,2,1
eplabas,word,1,2
obrábamos,word,2,1
eplábamos,word,1,2
obraban,word,2,1
eplaban,word,1,2
obraría,word,2,1
eplaría,word,1,2
obrarías,word,2,1
eplarías,word,1,2
